UNITID,EFLEVEL,EFTOTAL,EFMEN,EFWOM,EFFT,EFFTMEN,EFFTWOM,EFPT,EFPTMEN,EFPTWOM
123350,10,245,81,164,150,59,91,95,22,73
123448,10,364,113,251,193,58,135,171,55,116
123457,10,907,402,505,726,316,410,181,86,95
123484,10,1430,734,696,604,335,269,826,399,427
123493,10,90,29,61,90,29,61,,,
123509,10,9428,4393,5035,2054,1029,1025,7374,3364,4010
123527,10,12982,5026,7956,2844,1204,1640,10138,3822,6316
123554,10,2775,1180,1595,2324,1022,1302,451,158,293
123563,10,8868,4031,4837,2782,1182,1600,6086,2849,3237
123572,10,5990,2266,3724,5024,1908,3116,966,358,608
123633,10,234,80,154,174,60,114,60,20,40
123642,10,241,17,224,135,11,124,106,6,100
123651,10,2219,762,1457,1897,641,1256,322,121,201
123679,10,202,45,157,172,40,132,30,5,25
123800,10,18469,8414,10055,7790,3605,4185,10679,4809,5870
123916,10,73,13,60,31,5,26,42,8,34
123943,10,686,188,498,662,179,483,24,9,15
123952,10,457,270,187,451,268,183,6,2,4
123961,10,47147,22059,25088,41648,19375,22273,5499,2684,2815
123970,10,951,375,576,763,317,446,188,58,130
124113,10,4135,2044,2091,908,310,598,3227,1734,1493
124283,10,175,103,72,77,43,34,98,60,38
124292,10,539,268,271,539,268,271,,,
124487,10,91,38,53,3,1,2,88,37,51
124681,10,1036,460,576,1036,460,576,,,
124706,10,260,44,216,260,44,216,,,
124937,10,143,35,108,120,28,92,23,7,16
125028,10,11367,4892,6475,3435,1602,1833,7932,3290,4642
125037,10,276,101,175,260,94,166,16,7,9
125082,10,80,16,64,77,16,61,3,0,3
125091,10,15372,6216,9156,4751,1923,2828,10621,4293,6328
125170,10,6547,2803,3744,1078,526,552,5469,2277,3192
125231,10,44223,7255,36968,12926,1896,11030,31297,5359,25938
125310,10,46,6,40,46,6,40,,,
125462,10,3592,1648,1944,548,265,283,3044,1383,1661
125471,10,9299,3905,5394,1488,662,826,7811,3243,4568
125499,10,7272,3218,4054,2317,1106,1211,4955,2112,2843
125532,10,2288,577,1711,2288,577,1711,,,
125718,10,101,89,12,70,61,9,31,28,3
125727,10,1310,506,804,1300,501,799,10,5,5
125763,10,859,347,512,806,327,479,53,20,33
125897,10,898,404,494,832,376,456,66,28,38
126012,10,511,107,404,511,107,404,,,
126049,10,244,88,156,148,48,100,96,40,56
126076,10,157,157,0,157,157,0,,,
126119,10,5735,2298,3437,1372,627,745,4363,1671,2692
126182,10,2950,1212,1738,1842,773,1069,1108,439,669
126207,10,7529,3660,3869,1668,851,817,5861,2809,3052
126289,10,13978,6227,7751,2524,1122,1402,11454,5105,6349
126359,10,161,18,143,161,18,143,,,
126562,10,23409,9303,14106,12338,5124,7214,11071,4179,6892
126580,10,11213,5281,5932,7848,3759,4089,3365,1522,1843
126605,10,321,279,42,321,279,42,,,
126614,10,41432,22796,18636,34350,18214,16136,7082,4582,2500
126669,10,8254,2626,5628,2513,826,1687,5741,1800,3941
126678,10,2173,918,1255,2110,896,1214,63,22,41
126687,10,196,23,173,196,23,173,,,
126711,10,5673,2376,3297,1503,680,823,4170,1696,2474
126748,10,1256,553,703,405,176,229,851,377,474
126775,10,7599,5205,2394,6893,4683,2210,706,522,184
126784,10,108,101,7,108,101,7,,,
126818,10,33500,14936,18564,25925,11471,14454,7575,3465,4110
126827,10,28852,10198,18654,17989,6420,11569,10863,3778,7085
126863,10,8684,3786,4898,1350,658,692,7334,3128,4206
126915,10,247,91,156,66,23,43,181,68,113
126942,10,7715,2931,4784,1889,752,1137,5826,2179,3647
126951,10,1104,982,122,1104,982,122,,,
126979,10,837,410,427,200,78,122,637,332,305
127060,10,13387,5192,8195,8554,3405,5149,4833,1787,3046
127158,10,5914,5151,763,1209,1017,192,4705,4134,571
127185,10,3413,1585,1828,2900,1367,1533,513,218,295
127200,10,21096,9358,11738,4437,2099,2338,16659,7259,9400
127273,10,172,77,95,102,39,63,70,38,32
127316,10,307,62,245,101,27,74,206,35,171
127389,10,711,326,385,368,189,179,343,137,206
127556,10,8995,4186,4809,6699,3101,3598,2296,1085,1211
127565,10,17593,7630,9963,9985,4361,5624,7608,3269,4339
127617,10,1506,519,987,311,112,199,1195,407,788
127653,10,1117,298,819,669,179,490,448,119,329
127714,10,584,293,291,14,8,6,570,285,285
127732,10,1502,546,956,685,305,380,817,241,576
127741,10,9067,2821,6246,5987,1966,4021,3080,855,2225
127778,10,972,424,548,470,233,237,502,191,311
