,SUMLEV,COUNTY,NAME,POPESTIMATE2024
451,162,0,Villa Park city,5698
452,162,0,Visalia city,146271
453,162,0,Vista city,99322
454,162,0,Walnut city,27250
455,162,0,Walnut Creek city,70817
456,162,0,Wasco city,27409
457,162,0,Waterford city,9271
458,162,0,Watsonville city,51320
459,162,0,Weed city,2633
460,162,0,West Covina city,106920
461,162,0,West Hollywood city,34371
462,162,0,Westlake Village city,7593
463,162,0,Westminster city,89537
464,162,0,Westmorland city,2045
465,162,0,West Sacramento city,55991
466,162,0,Wheatland city,4110
467,162,0,Whittier city,85589
468,162,0,Wildomar city,37736
469,162,0,Williams city,5598
470,162,0,Willits city,4844
471,162,0,Willows city,6079
472,162,0,Windsor town,25846
473,162,0,Winters city,7825
474,162,0,Woodlake city,7774
475,162,0,Woodland city,62983
476,162,0,Woodside town,5123
477,162,0,Yorba Linda city,66489
478,162,0,Yountville city,3280
479,162,0,Yreka city,7686
480,162,0,Yuba City city,69148
481,162,0,Yucaipa city,54465
482,162,0,Yucca Valley town,21858
483,50,1,Alameda County,1649060
484,157,1,Alameda city,78795
485,157,1,Albany city,19439
486,157,1,Berkeley city,121749
487,157,1,Dublin city,70544
488,157,1,Emeryville city,13912
489,157,1,Fremont city,228192
490,157,1,Hayward city,158440
491,157,1,Livermore city,84867
492,157,1,Newark city,46254
493,157,1,Oakland city,443554
494,157,1,Piedmont city,10816
495,157,1,Pleasanton city,75664
496,157,1,San Leandro city,86571
497,157,1,Union City city,66196
498,157,1,Balance of Alameda County,144067
499,50,3,Alpine County,1099
500,50,5,Amador County,42026
501,157,5,Amador City city,205
502,157,5,Ione city,9411
503,157,5,Jackson city,5079
504,157,5,Plymouth city,1137
505,157,5,Sutter Creek city,2709
506,157,5,Balance of Amador County,23485
507,50,7,Butte County,208334
508,157,7,Biggs city,1941
509,157,7,Chico city,102911
510,157,7,Gridley city,7355
511,157,7,Oroville city,19712
512,157,7,Paradise town,9114
513,157,7,Balance of Butte County,67301
514,50,9,Calaveras County,46505
515,157,9,Angels city,3728
516,157,9,Balance of Calaveras County,42777
517,50,11,Colusa County,22074
518,157,11,Colusa city,6589
519,157,11,Williams city,5598
520,157,11,Balance of Colusa County,9887
521,50,13,Contra Costa County,1172607
522,157,13,Antioch city,118453
523,157,13,Brentwood city,66286
524,157,13,Clayton city,10933
525,157,13,Concord city,124016
526,157,13,Danville town,43410
527,157,13,El Cerrito city,26409
528,157,13,Hercules city,26499
529,157,13,Lafayette city,25371
530,157,13,Martinez city,37006
531,157,13,Moraga town,16698
532,157,13,Oakley city,47158
533,157,13,Orinda city,19573
534,157,13,Pinole city,18663
535,157,13,Pittsburg city,77131
536,157,13,Pleasant Hill city,34169
537,157,13,Richmond city,115353
538,157,13,San Pablo city,31562
539,157,13,San Ramon city,85924
540,157,13,Walnut Creek city,70817
541,157,13,Balance of Contra Costa County,177176
542,50,15,Del Norte County,27009
543,157,15,Crescent City city,6209
544,157,15,Balance of Del Norte County,20800
545,50,17,El Dorado County,192823
546,157,17,Placerville city,10695
547,157,17,South Lake Tahoe city,21225
548,157,17,Balance of El Dorado County,160903
549,50,19,Fresno County,1024125
550,157,19,Clovis city,127993
551,157,19,Coalinga city,16722
552,157,19,Firebaugh city,8424
553,157,19,Fowler city,7470
554,157,19,Fresno city,550105
555,157,19,Huron city,6737
556,157,19,Kerman city,17497
557,157,19,Kingsburg city,13128
558,157,19,Mendota city,12623
559,157,19,Orange Cove city,9708
560,157,19,Parlier city,14429
561,157,19,Reedley city,26138
562,157,19,Sanger city,26649
563,157,19,San Joaquin city,3679
564,157,19,Selma city,24505
565,157,19,Balance of Fresno County,158318
566,50,21,Glenn County,28304
567,157,21,Orland city,8605
568,157,21,Willows city,6079
569,157,21,Balance of Glenn County,13620
570,50,23,Humboldt County,132380
571,157,23,Arcata city,18748
572,157,23,Blue Lake city,1159
573,157,23,Eureka city,25412
574,157,23,Ferndale city,1361
575,157,23,Fortuna city,12114
576,157,23,Rio Dell city,3259
577,157,23,Trinidad city,321
578,157,23,Balance of Humboldt County,70006
579,50,25,Imperial County,181724
580,157,25,Brawley city,28188
581,157,25,Calexico city,38744
582,157,25,Calipatria city,6522
583,157,25,El Centro city,44230
584,157,25,Holtville city,5612
585,157,25,Imperial city,22102
586,157,25,Westmorland city,2045
587,157,25,Balance of Imperial County,34281
588,50,27,Inyo County,18485
589,157,27,Bishop city,3746
590,157,27,Balance of Inyo County,14739
591,50,29,Kern County,922529
592,157,29,Arvin city,19661
593,157,29,Bakersfield city,417468
594,157,29,California City city,13174
595,157,29,Delano city,53198
596,157,29,McFarland city,14365
597,157,29,Maricopa city,1012
598,157,29,Ridgecrest city,28373
599,157,29,Shafter city,22754
600,157,29,Taft city,6988
601,157,29,Tehachapi city,11114
602,157,29,Wasco city,27409
603,157,29,Balance of Kern County,307013
604,50,31,Kings County,154913
605,157,31,Avenal city,14108
606,157,31,Corcoran city,22627
607,157,31,Hanford city,60594
608,157,31,Lemoore city,27057
609,157,31,Balance of Kings County,30527
610,50,33,Lake County,67764
611,157,33,Clearlake city,16636
612,157,33,Lakeport city,5104
613,157,33,Balance of Lake County,46024
614,50,35,Lassen County,28340
615,157,35,Susanville city,12359
616,157,35,Balance of Lassen County,15981
617,50,37,Los Angeles County,9757179
618,157,37,Agoura Hills city,19429
619,157,37,Alhambra city,80279
620,157,37,Arcadia city,54472
621,157,37,Artesia city,15662
622,157,37,Avalon city,3267
623,157,37,Azusa city,48383
624,157,37,Baldwin Park city,69247
625,157,37,Bell city,31930
626,157,37,Bellflower city,75716
627,157,37,Bell Gardens city,37565
628,157,37,Beverly Hills city,31027
629,157,37,Bradbury city,883
