,UNITID,EFLEVEL,EFTOTAL
1064,153782,10,20
1065,153825,10,1213
1066,153834,10,1463
1067,153861,10,2666
1068,153922,10,1870
1069,153977,10,907
1070,154004,10,2158
1071,154013,10,1451
1072,154022,10,32604
1073,154059,10,2471
1074,154095,10,9013
1075,154101,10,1665
1076,154110,10,4378
1077,154129,10,1792
1078,154156,10,1521
1079,154174,10,2219
1080,154208,10,170
1081,154235,10,2703
1082,154262,10,196
1083,154332,10,123
1084,154350,10,1163
1085,154378,10,2562
1086,154396,10,1633
1087,154448,10,142
1088,154457,10,40
1089,154466,10,50
1090,154493,10,3102
1091,154518,10,2657
1092,154527,10,1472
1093,154536,10,164
1094,154545,10,101
1095,154572,10,5071
1096,154590,10,1536
1097,154642,10,1817
1098,154688,10,1945
1099,154697,10,4393
1100,154712,10,2465
1101,154721,10,637
1102,154749,10,502
1103,154800,10,6552
1104,154855,10,455
1105,154907,10,1644
1106,154925,10,1428
1107,154934,10,1375
1108,154952,10,2158
1109,154998,10,1757
1110,155007,10,349
1111,155025,10,4658
1112,155052,10,1639
1113,155061,10,12843
1114,155070,10,187
1115,155089,10,1927
1116,155098,10,1464
1117,155104,10,1904
1118,155140,10,878
1119,155159,10,74
1120,155177,10,308
1121,155186,10,2182
1122,155195,10,4983
1123,155201,10,821
1124,155210,10,17121
1125,155283,10,240
1126,155292,10,4803
1127,155308,10,143
1128,155317,10,28406
1129,155335,10,2787
1130,155353,10,94
1131,155399,10,19745
1132,155414,10,951
1133,155423,10,1187
1134,155450,10,1454
1135,155487,10,968
1136,155496,10,145
1137,155511,10,788
1138,155520,10,1539
1139,155566,10,1783
1140,155593,10,957
1141,155618,10,725
1142,155627,10,1055
1143,155636,10,431
1144,155681,10,5722
1145,155715,10,1153
1146,155812,10,1414
1147,155830,10,1007
1148,155858,10,1787
1149,155900,10,1139
1150,155937,10,707
1151,155973,10,664
1152,156082,10,5663
1153,156107,10,5655
1154,156125,10,16741
1155,156134,10,866
1156,156189,10,553
1157,156213,10,1942
1158,156222,10,1715
1159,156231,10,2559
1160,156286,10,2993
1161,156295,10,1487
1162,156310,10,285
1163,156338,10,5084
1164,156356,10,638
1165,156365,10,12451
1166,156392,10,11619
1167,156408,10,1356
1168,156417,10,159
1169,156426,10,204
1170,156471,10,4794
1171,156541,10,20327
1172,156620,10,15008
1173,156648,10,6204
1174,156727,10,2548
1175,156745,10,1463
1176,156754,10,43
1177,156790,10,3039
1178,156842,10,219
1179,156851,10,1606
1180,156860,10,2156
1181,156921,10,12574
1182,156967,10,123
1183,157021,10,329
1184,157030,10,87
1185,157058,10,1689
1186,157076,10,834
1187,157085,10,32703
1188,157100,10,541
1189,157207,10,93
1190,157216,10,4055
1191,157289,10,22139
1192,157298,10,94
1193,157304,10,3535
1194,157331,10,4296
1195,157377,10,1945
1196,157386,10,8618
1197,157401,10,9841
1198,157438,10,4752
1199,157447,10,14961
1200,157483,10,5132
1201,157535,10,2610
1202,157553,10,2583
1203,157614,10,83
1204,157650,10,158
1205,157669,10,80
1206,157678,10,124
1207,157711,10,5766
1208,157739,10,3144
1209,157748,10,4243
1210,157757,10,1555
1211,157793,10,2855
1212,157809,10,1947
1213,157818,10,1022
1214,157863,10,1129
1215,157951,10,16759
1216,158088,10,1211
1217,158246,10,213
1218,158325,10,130
1219,158431,10,5636
1220,158477,10,648
1221,158538,10,49
1222,158617,10,693
1223,158662,10,12130
1224,158778,10,74
1225,158787,10,72
1226,158802,10,1122
1227,158884,10,2950
1228,159009,10,5114
1229,159027,10,109
1230,159197,10,513
1231,159328,10,104
1232,159373,10,2683
1233,159382,10,5330
1234,159391,10,39418
1235,159407,10,3623
1236,159416,10,9736
1237,159513,10,197
1238,159522,10,134
1239,159531,10,31
1240,159568,10,950
1241,159601,10,10
1242,159647,10,11427
1243,159656,10,4351
1244,159717,10,6060
1245,159939,10,6601
1246,159948,10,2266
1247,159966,10,6180
1248,159993,10,8272
1249,160010,10,1044
1250,160038,10,8847
1251,160065,10,1152
1252,160074,10,1204
1253,160117,10,102
1254,160126,10,45
1255,160199,10,45
1256,160320,10,2538
1257,160409,10,99
1258,160472,10,159
1259,160481,10,2426
1260,160524,10,247
1261,160579,10,3316
1262,160597,10,106
1263,160612,10,13861
1264,160621,10,8249
1265,160630,10,2059
1266,160649,10,3156
1267,160658,10,15345
1268,160667,10,5716
1269,160755,10,13078
1270,160904,10,3181
1271,160959,10,367
1272,160977,10,1753
1273,160995,10,520
1274,161004,10,1850
1275,161022,10,228
1276,161077,10,4121
1277,161086,10,2284
1278,161138,10,2531
1279,161192,10,2381
1280,161208,10,43
1281,161217,10,4323
1282,161226,10,1950
1283,161235,10,1406
1284,161253,10,11760
1285,161299,10,913
1286,161341,10,2187
1287,161457,10,6473
1288,161484,10,772
1289,161493,10,118
1290,161509,10,474
1291,161518,10,1463
1292,161527,10,261
1293,161545,10,7205
1294,161554,10,7528
1295,161563,10,1669
1296,161572,10,6359
1297,161581,10,685
1298,161688,10,2665
1299,161767,10,11158
1300,161800,10,132
1301,161855,10,39
1302,161864,10,3939
1303,161873,10,3101
1304,162007,10,6408
1305,162061,10,902
1306,162104,10,1845
1307,162122,10,4984
1308,162168,10,1980
1309,162210,10,695
1310,162283,10,2101
1311,162335,10,43
1312,162371,10,529
1313,162557,10,6796
1314,162584,10,4075
1315,162609,10,701
1316,162654,10,1500
1317,162690,10,5433
1318,162706,10,5108
1319,162760,10,2078
1320,162779,10,8540
1321,162830,10,84
1322,162928,10,30362
1323,163028,10,1075
1324,163046,10,5107
1325,163204,10,60084
1326,163259,10,6667
1327,163268,10,14148
1328,163286,10,40813
1329,163295,10,1861
1330,163338,10,2844
1331,163347,10,373
1332,163408,10,68
1333,163426,10,17780
1334,163453,10,9808
1335,163462,10,2499
1336,163532,10,449
1337,163541,10,241
1338,163578,10,1836
1339,163657,10,10513
1340,163815,10,36
1341,163851,10,7030
1342,163912,10,1587
1343,163976,10,578
1344,164076,10,19527
1345,164085,10,646
1346,164155,10,4465
1347,164173,10,3507
1348,164216,10,916
1349,164270,10,2882
1350,164313,10,2636
1351,164368,10,2003
1352,164447,10,2142
1353,164465,10,1910
1354,164492,10,1332
1355,164535,10,48
1356,164562,10,2046
1357,164580,10,3943
1358,164599,10,51
1359,164614,10,33
1360,164632,10,2643
1361,164739,10,5264
1362,164748,10,8448
1363,164775,10,1572
1364,164872,10,787
1365,164915,10,169
1366,164924,10,15280
1367,164988,10,36624
1368,165015,10,5302
1369,165024,10,9550
1370,165033,10,6096
1371,165060,10,152
1372,165112,10,8545
1373,165167,10,1952
1374,165194,10,2604
1375,165255,10,163
1376,165264,10,717
1377,165334,10,4124
1378,165495,10,18
